post_id,text,shared_text,time,reactions,comments,shares,like_reaction,haha_reaction,love_reaction,anger_reaction,wow_reaction,sorry_reaction,tokens
2849712391750985.0,"Pour divertir les plus petits pendant ces longues journées à la maison, on met à disposition nos livres Happy Meal™ en version audio 😊
Profitez-en ici 👉 https://bit.ly/2Vbw480",,2020-04-16 17:02:56,212,110,93,187,0,25,0,0,0,"['divert', 'plus', 'petit', 'pend', 'longu', 'journ', 'maison', 'met', 'disposit', 'livr', 'happy', 'version', 'audio', 'ici', 'http']"
2827050184017206.0,"Pour divertir vos enfants et partager un bon moment à la maison pendant cette période, on met à disposition les livres Happy Meal™ écrits par Katherine Pancol en version numérique 😊
De belles histoires sur les instruments de musique à découvrir juste ici 👉 https://bit.ly/2JEJDGu",,2020-04-06 17:23:46,1484,668,914,1284,20,119,54,5,2,"['divert', 'enfant', 'partag', 'bon', 'moment', 'maison', 'pend', 'cet', 'périod', 'met', 'disposit', 'livr', 'happy', 'écrit', 'katherin', 'pancol', 'version', 'numer', 'bel', 'histoir', 'instrument', 'musiqu', 'découvr', 'just', 'ici', 'http']"
2750328441689381.0,"C’est LE trio dont tout le monde va parler !
➡ On part sur quelle recette ?",,2020-03-10 11:58:22,4556,6795,442,3569,41,748,27,157,14,"['trio', 'dont', 'tout', 'mond', 'va', 'parl', 'part', 'quel', 'recet']"
2755255451196680.0,"Question de la plus haute importance :
➡️ tu manges d’abord tes frites et ensuite ton burger… Ou l’inverse ?",,2020-03-08 17:57:07,452,1003,15,428,12,12,0,0,0,"['question', 'plus', 'haut', 'import', 'mang', 'abord', 'frit', 'ensuit', 'invers']"
2705846959470863.0,🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚,,2020-03-06 11:57:06,1615,1398,70,1393,141,50,14,15,2,[]
2681244098597816.0,"Au fond, on est encore tous des grands enfants, non ?",,2020-02-26 18:04:27,464,306,51,337,100,17,7,2,1,"['fond', 'encor', 'tous', 'grand', 'enfant', 'non']"
2681242731931286.0,"À 30 000 commentaires, on commencera à penser
à un éventuel retour…",,2020-02-21 11:55:35,1440,3783,72,1089,254,63,18,9,7,"['commentair', 'commenc', 'pens', 'éventuel']"
2695052650550294.0,"Pour tous ceux qui aiment les spoilers, rdv en premier commentaire !
SUN, MAR 8
Code Ciné 2020","SUN, MAR 8
Code Ciné 2020",2020-02-14 11:57:27,601,266,0,565,13,17,5,1,0,"['tous', 'ceux', 'aiment', 'spoiler', 'rdv', 'premi', 'commentair', 'sun', 'mar', 'cod', 'cin']"
2681239865264906.0,Si jamais tu cherchais encore un/e partenaire pour ta St-Valentin ⬇️,,2020-02-13 11:54:15,5349,45172,1790,3814,823,653,11,34,14,"['si', 'jam', 'cherch', 'encor', 'partenair']"
2679224722133087.0,"Tout le monde : un burger sucré ? Impossible.
Nous : 😏",,2020-02-11 11:56:00,4855,8034,888,3615,196,587,119,319,19,"['tout', 'mond', 'burg', 'sucr', 'impossibl']"
2700318873357005.0,"Comme vous avez peut-être pu le constater, nous avons été victime d’un bug informatique aujourd’hui.
Notre service de livraison peut rencontrer quelques perturbations en ce moment. Nous nous excusons pour ce problème et travaillons actuellement pour le résoudre au plus vite.",,2020-02-08 22:42:53,2077,1936,164,1666,314,31,15,31,20,"['comm', 'pu', 'constat', 'victim', 'bug', 'informat', 'aujourd', 'hui', 'servic', 'livraison', 'peut', 'rencontr', 'quelqu', 'perturb', 'moment', 'excuson', 'problem', 'travaillon', 'actuel', 'résoudr', 'plus', 'vit']"
2679220025466890.0,Même ton feed n’est pas prêt pour ce qui arrive 🙃,,2020-02-07 11:49:00,3314,5824,442,2458,70,375,64,335,12,"['feed', 'prêt', 'arriv']"
2679279902127569.0,"Il est temps d’aider ces deux jeunes !
➡️ C’est quoi LE meilleur burger chez McDo ?",,2020-02-05 18:04:00,8182,1833,215,5247,2811,99,10,7,8,"['temp', 'aid', 'deux', 'jeun', 'quoi', 'meilleur', 'burg', 'chez', 'mcdo']"
2650186768370216.0,Dédicace à tous nos Big Mac™ lovers ❤,,2020-01-29 17:57:28,663,420,40,513,75,67,7,0,1,"['dédicac', 'tous', 'big', 'lover']"
2650185435037016.0,"Pas la peine de faire semblant, on sait qu’on te fait de l’effet 😉",,2020-01-24 11:58:35,1166,1163,96,856,215,83,8,1,3,"['pein', 'fair', 'sembl', 'sait', 'fait', 'effet']"
2662169843838575.0,Note à tous les Verseaux : le célibat prend fin prochainement 😍,,2020-01-21 12:10:27,3298,7714,431,1861,1197,212,11,8,9,"['not', 'tous', 'verseau', 'prend', 'fin', 'prochain']"
2646457875409772.0,"« Papa, maman, vous avez fait quoi hier soir ? »
- 🙄🙄🙄",,2020-01-15 12:04:17,5284,1378,601,2934,2143,107,70,15,15,"['pap', 'maman', 'fait', 'quoi', 'hi', 'soir']"
